Station Location,,,,,
BLACKPOOL NORTH,BRADFORD INTERCH,Blackpool North,BPN,5,
BRADFORD INTERCHange,BRADFORD INTERCH,Bradford Interchange,BDI,5,
DARLINGTON,DARLINGTON.,Darlington,DAR,7,
MANCHESTER Oxford road,MANCHESTER O RD,Manchester Oxford Road,MCO,6,
MANCHESTER Victoria,MANCHESTER VIC,Manchester Victoria,MCV,19,
NEWCASTLE,NEWCASTLE.,Newcastle,NCL,23,
Peterborough,Peterborough,Peterborough,PBO,7,
WAKEFIELD WESTGate,WAKEFIELD WESTGT,Wakefield Westgate,WKF,8,
